,feature_1,feature_2,feature_3,feature_4,label
148,8.0,12.0,19.0,19.0,1.0
149,13.0,11.0,9.0,18.0,1.0
150,9.0,18.0,11.0,20.0,1.0
151,11.0,14.0,16.0,9.0,0.0
152,12.0,10.0,13.0,16.0,1.0
153,10.0,15.0,13.0,18.0,1.0
154,8.0,9.0,10.0,17.0,1.0
155,16.0,15.0,8.0,15.0,0.0
156,4.0,14.0,6.0,14.0,1.0
157,6.0,11.0,16.0,15.0,1.0
158,10.0,16.0,16.0,13.0,1.0
159,13.0,11.0,11.0,10.0,0.0
160,9.0,11.0,9.0,15.0,1.0
161,8.0,21.0,13.0,13.0,1.0
162,6.0,15.0,10.0,12.0,1.0
163,11.0,17.0,15.0,17.0,1.0
164,6.0,20.0,9.0,17.0,1.0
165,8.0,14.0,14.0,9.0,1.0
166,9.0,12.0,7.0,15.0,1.0
167,13.0,20.0,14.0,8.0,0.0
168,11.0,15.0,8.0,13.0,1.0
169,10.0,13.0,13.0,16.0,1.0
170,5.0,19.0,10.0,12.0,1.0
171,8.0,19.0,11.0,20.0,1.0
172,7.0,7.0,19.0,13.0,0.0
173,11.0,17.0,11.0,13.0,0.0
174,6.0,7.0,11.0,14.0,1.0
175,6.0,17.0,8.0,17.0,1.0
176,7.0,10.0,9.0,11.0,1.0
177,12.0,11.0,13.0,8.0,0.0
178,7.0,11.0,6.0,13.0,1.0
179,7.0,10.0,14.0,19.0,1.0
180,7.0,19.0,12.0,15.0,1.0
181,6.0,17.0,15.0,16.0,1.0
182,9.0,11.0,15.0,16.0,1.0
183,13.0,13.0,12.0,13.0,0.0
184,11.0,22.0,17.0,19.0,1.0
185,5.0,12.0,9.0,22.0,1.0
186,7.0,18.0,9.0,17.0,1.0
187,11.0,12.0,10.0,10.0,0.0
188,12.0,12.0,9.0,11.0,0.0
189,13.0,9.0,12.0,16.0,0.0
190,7.0,7.0,4.0,21.0,1.0
191,7.0,8.0,8.0,12.0,1.0
192,13.0,13.0,13.0,10.0,0.0
193,5.0,13.0,12.0,9.0,1.0
194,12.0,15.0,12.0,9.0,1.0
195,7.0,14.0,9.0,19.0,1.0
196,12.0,16.0,10.0,13.0,1.0
197,6.0,14.0,10.0,21.0,1.0
198,7.0,16.0,5.0,12.0,1.0
199,7.0,14.0,10.0,13.0,1.0
200,17.0,17.0,10.0,10.0,1.0
201,14.0,13.0,14.0,11.0,0.0
202,11.0,13.0,9.0,13.0,0.0
203,10.0,12.0,7.0,13.0,1.0
204,6.0,21.0,9.0,17.0,1.0
205,11.0,16.0,11.0,11.0,1.0
206,1.0,15.0,14.0,21.0,1.0
207,7.0,12.0,11.0,22.0,1.0
208,12.0,6.0,14.0,13.0,0.0
209,12.0,13.0,16.0,7.0,0.0
210,9.0,13.0,13.0,15.0,1.0
211,18.0,13.0,19.0,10.0,0.0
212,8.0,14.0,12.0,15.0,0.0
213,21.0,9.0,10.0,11.0,0.0
214,8.0,14.0,10.0,10.0,1.0
215,11.0,13.0,19.0,11.0,0.0
216,11.0,11.0,15.0,15.0,0.0
217,6.0,13.0,13.0,14.0,1.0
218,10.0,14.0,9.0,15.0,1.0
219,3.0,13.0,11.0,19.0,1.0
220,14.0,12.0,16.0,15.0,0.0
221,8.0,9.0,12.0,16.0,1.0
222,11.0,18.0,12.0,14.0,1.0
223,6.0,13.0,10.0,23.0,1.0
224,7.0,18.0,10.0,14.0,1.0
225,5.0,14.0,10.0,17.0,1.0
226,15.0,12.0,11.0,7.0,0.0
227,6.0,18.0,14.0,16.0,1.0
228,12.0,17.0,10.0,12.0,0.0
229,9.0,8.0,14.0,8.0,0.0
230,10.0,16.0,8.0,17.0,1.0
231,5.0,13.0,12.0,14.0,1.0
232,5.0,18.0,12.0,14.0,1.0
233,15.0,17.0,10.0,13.0,1.0
234,4.0,16.0,7.0,23.0,1.0
235,10.0,17.0,6.0,12.0,1.0
236,10.0,10.0,11.0,14.0,1.0
237,14.0,12.0,8.0,12.0,0.0
238,5.0,30.0,12.0,15.0,1.0
239,8.0,17.0,18.0,17.0,1.0
240,11.0,13.0,15.0,10.0,1.0
241,10.0,7.0,11.0,16.0,1.0
242,3.0,12.0,11.0,18.0,1.0
243,12.0,13.0,11.0,14.0,0.0
244,9.0,24.0,10.0,12.0,1.0
245,16.0,17.0,14.0,12.0,0.0
246,9.0,20.0,9.0,13.0,1.0
247,12.0,9.0,13.0,9.0,0.0
248,9.0,9.0,8.0,14.0,1.0
249,11.0,17.0,11.0,12.0,0.0
250,9.0,11.0,12.0,10.0,1.0
251,16.0,14.0,6.0,10.0,0.0
252,9.0,17.0,10.0,20.0,1.0
253,8.0,21.0,12.0,19.0,1.0
254,8.0,14.0,7.0,17.0,0.0
255,8.0,11.0,13.0,10.0,0.0
256,10.0,16.0,5.0,21.0,1.0
257,5.0,21.0,15.0,14.0,1.0
258,11.0,19.0,7.0,14.0,1.0
259,9.0,14.0,10.0,14.0,1.0
260,7.0,14.0,12.0,20.0,1.0
261,3.0,17.0,11.0,19.0,1.0
262,10.0,15.0,15.0,8.0,0.0
263,9.0,13.0,13.0,13.0,1.0
264,12.0,13.0,9.0,16.0,1.0
265,15.0,16.0,19.0,9.0,0.0
266,17.0,11.0,12.0,20.0,0.0
267,14.0,16.0,12.0,17.0,0.0
268,11.0,16.0,12.0,20.0,1.0
269,5.0,21.0,7.0,12.0,1.0
270,16.0,10.0,12.0,18.0,0.0
271,8.0,8.0,11.0,16.0,1.0
272,10.0,10.0,9.0,14.0,0.0
273,9.0,13.0,10.0,9.0,1.0
274,13.0,15.0,6.0,14.0,0.0
275,11.0,9.0,9.0,12.0,1.0
276,5.0,17.0,9.0,16.0,1.0
277,8.0,18.0,8.0,18.0,1.0
278,12.0,9.0,9.0,12.0,0.0
279,12.0,17.0,12.0,22.0,1.0
280,15.0,12.0,14.0,13.0,0.0
281,9.0,12.0,9.0,17.0,1.0
282,18.0,9.0,11.0,14.0,0.0
283,10.0,15.0,18.0,20.0,1.0
284,13.0,10.0,8.0,14.0,0.0
285,14.0,10.0,7.0,7.0,0.0
286,8.0,20.0,12.0,11.0,1.0
287,15.0,14.0,19.0,13.0,0.0
288,7.0,13.0,8.0,18.0,1.0
289,9.0,12.0,21.0,9.0,0.0
290,11.0,20.0,6.0,13.0,1.0
291,8.0,17.0,12.0,10.0,1.0
292,6.0,18.0,7.0,17.0,1.0
293,15.0,9.0,16.0,17.0,0.0
294,7.0,8.0,11.0,18.0,1.0
295,6.0,12.0,10.0,16.0,1.0
296,7.0,20.0,10.0,19.0,1.0
297,8.0,15.0,7.0,18.0,1.0
298,12.0,9.0,14.0,7.0,0.0
299,12.0,15.0,15.0,17.0,1.0
300,6.0,9.0,13.0,12.0,1.0
301,7.0,16.0,9.0,17.0,1.0
302,12.0,12.0,15.0,7.0,0.0
303,10.0,10.0,12.0,13.0,0.0
304,17.0,9.0,11.0,8.0,0.0
305,11.0,12.0,10.0,14.0,0.0
306,8.0,13.0,15.0,18.0,1.0
307,12.0,12.0,12.0,9.0,0.0
308,12.0,19.0,8.0,14.0,0.0
309,13.0,16.0,11.0,16.0,1.0
310,10.0,16.0,12.0,10.0,0.0
311,5.0,17.0,16.0,24.0,1.0
312,18.0,16.0,13.0,16.0,0.0
313,5.0,21.0,9.0,13.0,1.0
314,7.0,16.0,9.0,17.0,1.0
315,8.0,18.0,19.0,18.0,0.0
316,13.0,11.0,14.0,20.0,0.0
317,8.0,15.0,6.0,18.0,1.0
318,7.0,8.0,14.0,12.0,0.0
319,5.0,14.0,7.0,16.0,1.0
320,8.0,24.0,13.0,13.0,1.0
321,5.0,14.0,9.0,15.0,1.0
322,11.0,13.0,17.0,8.0,0.0
323,5.0,13.0,9.0,12.0,1.0
324,15.0,10.0,10.0,16.0,0.0
325,14.0,12.0,15.0,12.0,0.0
326,14.0,11.0,10.0,8.0,0.0
327,7.0,7.0,11.0,14.0,0.0
328,10.0,13.0,9.0,9.0,1.0
329,15.0,12.0,15.0,10.0,0.0
330,7.0,16.0,13.0,13.0,1.0
331,10.0,21.0,8.0,9.0,1.0
332,10.0,11.0,14.0,8.0,1.0
333,13.0,14.0,6.0,26.0,1.0
334,11.0,14.0,14.0,19.0,1.0
335,16.0,14.0,12.0,10.0,0.0
336,6.0,10.0,11.0,11.0,1.0
337,4.0,12.0,16.0,25.0,1.0
338,7.0,16.0,13.0,13.0,1.0
339,6.0,15.0,7.0,12.0,1.0
340,9.0,15.0,19.0,14.0,0.0
341,5.0,9.0,9.0,13.0,1.0
342,9.0,10.0,9.0,14.0,1.0
343,13.0,9.0,19.0,19.0,0.0
344,6.0,10.0,10.0,26.0,1.0
345,13.0,7.0,15.0,11.0,0.0
346,11.0,13.0,13.0,11.0,1.0
347,4.0,19.0,10.0,11.0,1.0
348,12.0,18.0,11.0,11.0,0.0
349,8.0,17.0,8.0,18.0,1.0
350,16.0,11.0,10.0,12.0,0.0
351,7.0,17.0,14.0,17.0,1.0
352,12.0,8.0,10.0,13.0,0.0
353,8.0,8.0,13.0,15.0,1.0
354,12.0,21.0,11.0,9.0,1.0
355,7.0,15.0,10.0,12.0,1.0
356,6.0,16.0,16.0,15.0,1.0
357,6.0,20.0,7.0,17.0,1.0
358,10.0,12.0,8.0,10.0,0.0
359,10.0,14.0,10.0,11.0,0.0
360,8.0,14.0,12.0,18.0,1.0
361,8.0,10.0,9.0,9.0,1.0
362,13.0,13.0,7.0,17.0,1.0
363,7.0,21.0,6.0,14.0,1.0
364,10.0,17.0,8.0,10.0,0.0
365,10.0,16.0,18.0,12.0,1.0
366,11.0,8.0,10.0,13.0,0.0
367,9.0,11.0,12.0,21.0,1.0
368,4.0,26.0,12.0,25.0,1.0
369,6.0,13.0,10.0,18.0,1.0
370,6.0,21.0,13.0,26.0,1.0
371,11.0,14.0,7.0,20.0,1.0
372,15.0,11.0,13.0,10.0,0.0
373,10.0,21.0,12.0,15.0,1.0
374,11.0,15.0,17.0,14.0,0.0
375,10.0,11.0,7.0,11.0,1.0
376,11.0,11.0,12.0,13.0,0.0
377,5.0,12.0,8.0,10.0,1.0
378,7.0,15.0,8.0,11.0,1.0
379,10.0,10.0,10.0,12.0,0.0
380,8.0,12.0,10.0,16.0,1.0
381,7.0,18.0,12.0,17.0,1.0
382,8.0,15.0,17.0,14.0,1.0
383,11.0,11.0,10.0,13.0,0.0
384,17.0,12.0,9.0,10.0,0.0
385,10.0,12.0,11.0,13.0,0.0
386,10.0,10.0,11.0,8.0,0.0
387,4.0,17.0,14.0,15.0,1.0
388,2.0,19.0,9.0,11.0,1.0
389,8.0,11.0,11.0,13.0,1.0
390,14.0,22.0,10.0,20.0,1.0
391,5.0,11.0,12.0,12.0,0.0
392,10.0,12.0,10.0,15.0,1.0
393,13.0,14.0,9.0,12.0,0.0
394,6.0,15.0,8.0,18.0,1.0
395,6.0,20.0,17.0,19.0,1.0
396,5.0,22.0,10.0,8.0,1.0
397,9.0,17.0,17.0,16.0,1.0
398,10.0,19.0,10.0,13.0,1.0
399,8.0,15.0,7.0,12.0,1.0
400,3.0,9.0,8.0,17.0,1.0
401,12.0,12.0,10.0,16.0,0.0
402,13.0,16.0,17.0,13.0,0.0
403,4.0,20.0,13.0,14.0,1.0
404,3.0,10.0,9.0,15.0,1.0
405,23.0,10.0,12.0,12.0,0.0
406,11.0,23.0,10.0,12.0,1.0
407,9.0,19.0,15.0,8.0,1.0
408,10.0,21.0,10.0,8.0,1.0
409,4.0,27.0,9.0,19.0,1.0
410,8.0,10.0,9.0,13.0,1.0
411,11.0,13.0,10.0,11.0,0.0
412,12.0,14.0,13.0,21.0,0.0
413,12.0,14.0,12.0,16.0,1.0
414,19.0,7.0,19.0,10.0,0.0
415,8.0,11.0,20.0,23.0,1.0
416,10.0,16.0,12.0,18.0,0.0
417,7.0,13.0,7.0,16.0,1.0
418,14.0,15.0,17.0,14.0,0.0
419,9.0,17.0,14.0,15.0,1.0
420,4.0,10.0,7.0,16.0,1.0
421,12.0,17.0,17.0,13.0,1.0
422,8.0,18.0,13.0,15.0,1.0
423,11.0,15.0,14.0,14.0,1.0
424,10.0,11.0,10.0,21.0,1.0
425,12.0,7.0,9.0,21.0,1.0
426,15.0,15.0,15.0,17.0,0.0
427,9.0,21.0,9.0,16.0,1.0
428,10.0,16.0,16.0,18.0,1.0
429,6.0,18.0,12.0,18.0,1.0
430,8.0,13.0,12.0,10.0,0.0
431,16.0,12.0,14.0,13.0,0.0
432,7.0,15.0,20.0,13.0,1.0
433,11.0,14.0,11.0,18.0,1.0
434,11.0,21.0,8.0,20.0,1.0
435,6.0,19.0,13.0,14.0,1.0
436,8.0,19.0,15.0,19.0,1.0
437,10.0,11.0,16.0,10.0,0.0
438,11.0,19.0,12.0,17.0,1.0
439,12.0,12.0,17.0,13.0,0.0
440,10.0,17.0,8.0,18.0,1.0
441,12.0,23.0,12.0,11.0,0.0
442,7.0,17.0,10.0,15.0,1.0
443,12.0,11.0,13.0,11.0,0.0
444,9.0,11.0,12.0,16.0,1.0
445,10.0,13.0,17.0,14.0,1.0
446,9.0,10.0,16.0,10.0,0.0
447,8.0,13.0,9.0,19.0,1.0
448,7.0,12.0,9.0,21.0,1.0
449,10.0,15.0,16.0,11.0,1.0
450,14.0,15.0,18.0,9.0,1.0
451,12.0,11.0,14.0,16.0,1.0
452,13.0,17.0,11.0,10.0,1.0
453,8.0,6.0,20.0,13.0,0.0
454,5.0,14.0,10.0,15.0,1.0
455,5.0,12.0,14.0,19.0,1.0
456,9.0,12.0,12.0,13.0,1.0
457,12.0,14.0,16.0,15.0,0.0
458,6.0,11.0,10.0,20.0,1.0
459,5.0,14.0,15.0,16.0,1.0
460,7.0,19.0,7.0,10.0,1.0
461,4.0,19.0,13.0,9.0,1.0
462,16.0,15.0,12.0,14.0,1.0
463,3.0,11.0,11.0,24.0,1.0
464,11.0,13.0,13.0,16.0,0.0
465,4.0,12.0,7.0,20.0,1.0
466,12.0,13.0,10.0,9.0,0.0
467,5.0,10.0,10.0,23.0,1.0
468,4.0,19.0,7.0,18.0,1.0
469,9.0,15.0,14.0,16.0,0.0
470,17.0,7.0,15.0,12.0,0.0
471,7.0,14.0,11.0,12.0,1.0
472,6.0,16.0,13.0,21.0,1.0
473,10.0,23.0,8.0,14.0,1.0
474,5.0,17.0,7.0,21.0,1.0
475,11.0,12.0,13.0,15.0,0.0
476,4.0,21.0,12.0,15.0,1.0
477,7.0,14.0,11.0,17.0,1.0
478,13.0,19.0,10.0,16.0,1.0
479,14.0,12.0,10.0,17.0,0.0
480,3.0,20.0,5.0,18.0,1.0
481,7.0,20.0,7.0,13.0,1.0
482,9.0,14.0,9.0,16.0,1.0
483,8.0,12.0,12.0,19.0,1.0
484,16.0,13.0,12.0,10.0,0.0
485,4.0,13.0,8.0,11.0,1.0
486,15.0,11.0,8.0,11.0,0.0
487,12.0,18.0,22.0,15.0,0.0
488,8.0,23.0,10.0,13.0,1.0
489,3.0,17.0,10.0,13.0,1.0
490,10.0,22.0,9.0,17.0,1.0
491,5.0,16.0,12.0,12.0,1.0
492,12.0,18.0,7.0,18.0,1.0
493,14.0,17.0,7.0,17.0,1.0
494,11.0,17.0,9.0,20.0,1.0
495,5.0,20.0,15.0,8.0,0.0
496,19.0,7.0,17.0,14.0,0.0
497,6.0,16.0,10.0,16.0,1.0
498,6.0,17.0,10.0,15.0,1.0
499,12.0,18.0,10.0,15.0,0.0
500,10.0,17.0,18.0,6.0,1.0
501,7.0,20.0,7.0,21.0,1.0
502,8.0,16.0,6.0,23.0,1.0
503,9.0,9.0,7.0,16.0,1.0
504,8.0,24.0,12.0,11.0,1.0
505,8.0,11.0,11.0,8.0,0.0
506,9.0,8.0,8.0,18.0,1.0
507,5.0,10.0,8.0,11.0,0.0
508,12.0,12.0,11.0,15.0,0.0
509,12.0,18.0,18.0,11.0,0.0
510,12.0,7.0,21.0,14.0,0.0
511,7.0,10.0,10.0,19.0,0.0
512,7.0,24.0,16.0,17.0,1.0
513,9.0,15.0,9.0,16.0,0.0
514,10.0,15.0,11.0,13.0,1.0
515,13.0,11.0,8.0,14.0,1.0
516,14.0,23.0,11.0,17.0,0.0
517,9.0,17.0,9.0,15.0,1.0
518,9.0,14.0,7.0,13.0,0.0
519,16.0,20.0,24.0,17.0,0.0
520,10.0,20.0,10.0,19.0,1.0
521,11.0,13.0,13.0,9.0,0.0
522,6.0,15.0,12.0,14.0,1.0
523,7.0,15.0,11.0,6.0,1.0
524,11.0,16.0,11.0,11.0,0.0
525,21.0,13.0,15.0,10.0,0.0
526,6.0,16.0,9.0,14.0,1.0
527,5.0,8.0,11.0,12.0,0.0
528,7.0,20.0,16.0,19.0,1.0
529,12.0,12.0,14.0,6.0,0.0
530,12.0,9.0,10.0,11.0,0.0
531,9.0,23.0,9.0,7.0,0.0
532,7.0,9.0,5.0,9.0,0.0
533,8.0,13.0,15.0,9.0,1.0
534,7.0,16.0,6.0,19.0,1.0
535,10.0,11.0,13.0,16.0,0.0
536,8.0,14.0,7.0,12.0,1.0
537,7.0,14.0,16.0,14.0,1.0
538,8.0,11.0,9.0,10.0,0.0
539,19.0,12.0,13.0,11.0,0.0
540,11.0,11.0,21.0,14.0,0.0
541,14.0,16.0,17.0,9.0,1.0
542,8.0,21.0,15.0,22.0,1.0
543,10.0,16.0,12.0,14.0,0.0
544,14.0,12.0,12.0,7.0,0.0
545,5.0,17.0,13.0,17.0,1.0
546,8.0,18.0,12.0,10.0,1.0
547,6.0,14.0,12.0,18.0,1.0
548,9.0,16.0,10.0,18.0,1.0
549,4.0,13.0,10.0,14.0,1.0
550,12.0,11.0,9.0,15.0,1.0
551,6.0,22.0,18.0,13.0,1.0
552,3.0,22.0,15.0,13.0,1.0
553,13.0,11.0,10.0,13.0,0.0
554,7.0,15.0,8.0,24.0,1.0
555,7.0,8.0,8.0,15.0,1.0
556,9.0,17.0,14.0,10.0,1.0
557,7.0,14.0,10.0,8.0,1.0
558,6.0,13.0,15.0,9.0,1.0
559,9.0,12.0,7.0,14.0,1.0
560,17.0,10.0,9.0,8.0,0.0
561,16.0,11.0,15.0,14.0,0.0
562,8.0,16.0,7.0,13.0,1.0
563,11.0,19.0,11.0,15.0,1.0
564,9.0,15.0,6.0,18.0,1.0
565,12.0,11.0,6.0,18.0,0.0
566,4.0,24.0,12.0,12.0,1.0
567,9.0,15.0,13.0,15.0,0.0
568,10.0,14.0,12.0,14.0,0.0
569,6.0,13.0,12.0,13.0,1.0
570,11.0,14.0,15.0,9.0,0.0
571,14.0,18.0,14.0,17.0,0.0
572,22.0,13.0,10.0,15.0,0.0
573,14.0,11.0,13.0,14.0,0.0
574,15.0,22.0,12.0,16.0,0.0
575,12.0,16.0,15.0,9.0,1.0
576,14.0,15.0,9.0,12.0,0.0
577,5.0,15.0,13.0,14.0,1.0
578,13.0,11.0,17.0,15.0,0.0
579,10.0,17.0,10.0,14.0,1.0
580,8.0,15.0,10.0,11.0,1.0
581,4.0,12.0,12.0,13.0,1.0
582,4.0,13.0,9.0,15.0,1.0
583,7.0,26.0,12.0,15.0,1.0
584,6.0,14.0,13.0,11.0,1.0
585,8.0,10.0,14.0,20.0,1.0
586,11.0,21.0,9.0,14.0,1.0
587,9.0,24.0,9.0,17.0,1.0
588,13.0,11.0,10.0,18.0,1.0
589,16.0,18.0,14.0,10.0,0.0
590,9.0,10.0,11.0,25.0,1.0
591,12.0,10.0,9.0,14.0,0.0
592,11.0,19.0,9.0,11.0,1.0
593,8.0,18.0,10.0,11.0,1.0
594,5.0,14.0,15.0,15.0,1.0
595,2.0,13.0,10.0,10.0,1.0
596,13.0,12.0,8.0,21.0,1.0
597,9.0,11.0,11.0,12.0,0.0
598,15.0,6.0,17.0,19.0,0.0
599,14.0,21.0,9.0,20.0,0.0
600,6.0,15.0,6.0,17.0,1.0
601,8.0,13.0,13.0,19.0,1.0
602,8.0,17.0,11.0,13.0,1.0
603,9.0,13.0,13.0,10.0,0.0
604,7.0,11.0,12.0,16.0,1.0
605,10.0,12.0,8.0,13.0,1.0
606,12.0,13.0,9.0,10.0,0.0
607,6.0,18.0,9.0,15.0,1.0
608,4.0,18.0,8.0,16.0,1.0
609,8.0,19.0,10.0,19.0,1.0
610,14.0,14.0,8.0,7.0,0.0
611,5.0,17.0,12.0,16.0,1.0
612,6.0,9.0,6.0,15.0,1.0
613,7.0,10.0,10.0,15.0,1.0
614,9.0,15.0,16.0,14.0,1.0
615,11.0,16.0,15.0,5.0,1.0
616,8.0,11.0,15.0,14.0,0.0
617,7.0,19.0,14.0,24.0,1.0
618,8.0,23.0,18.0,9.0,0.0
619,5.0,10.0,10.0,15.0,1.0
620,14.0,9.0,12.0,10.0,0.0
621,8.0,12.0,10.0,16.0,1.0
622,7.0,12.0,8.0,12.0,1.0
623,5.0,7.0,10.0,9.0,1.0
624,14.0,11.0,10.0,8.0,0.0
625,7.0,15.0,12.0,15.0,1.0
626,13.0,5.0,11.0,16.0,0.0
627,16.0,10.0,7.0,15.0,1.0
628,8.0,12.0,13.0,13.0,1.0
629,7.0,12.0,7.0,10.0,1.0
630,18.0,9.0,14.0,12.0,0.0
631,6.0,16.0,11.0,8.0,1.0
632,9.0,17.0,15.0,12.0,1.0
633,7.0,14.0,10.0,19.0,1.0
